mag.u,mag.g,mag.r,mag.i,mag.z
21.1994819641113,19.7034778594971,19.0773372650146,18.8192100524902,18.6614570617676
21.5194530487061,20.1110057830811,19.4323711395264,19.1382884979248,19.1425285339355
21.7156143188477,20.2636470794678,19.6691455841064,19.4021587371826,19.150218963623
21.7156143188477,20.2636470794678,19.6691455841064,19.4021587371826,19.150218963623
21.408748626709,20.0511608123779,19.4791431427002,19.1644744873047,19.027515411377
21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594
21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594
21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594
20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949
20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949
20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949
20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949
20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949
20.4454708099365,18.1615447998047,17.1976680755615,16.7762317657471,16.5513725280762
20.4454708099365,18.1615447998047,17.1976680755615,16.7762317657471,16.5513725280762
21.5735893249512,20.193811416626,19.5827083587646,19.2994232177734,19.2676048278809
21.5735893249512,20.193811416626,19.5827083587646,19.2994232177734,19.2676048278809
20.9396362304688,19.3018760681152,18.6589756011963,18.3612174987793,18.2198371887207
20.9396362304688,19.3018760681152,18.6589756011963,18.3612174987793,18.2198371887207
21.4417724609375,19.8497905731201,19.1727600097656,18.9068031311035,18.7601509094238
19.3897762298584,18.1738548278809,17.7109603881836,17.5256290435791,17.4293594360352
21.0310707092285,19.9317951202393,19.3082027435303,19.0332832336426,18.834997177124
21.0310707092285,19.9317951202393,19.3082027435303,19.0332832336426,18.834997177124
19.3373565673828,17.2462882995605,16.3964538574219,16.0486240386963,15.8424434661865
20.5553112030029,18.7138862609863,17.9273662567139,17.564058303833,17.3733329772949
20.7939338684082,19.0675678253174,18.3669528961182,18.0485038757324,17.8868026733398
20.1855068206787,19.0793685913086,18.5921630859375,18.380199432373,18.3173732757568
20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166
20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166
20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166
20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166
20.660924911499,19.1440334320068,18.4416351318359,18.1483554840088,17.9570655822754
20.7020702362061,19.1950931549072,18.548376083374,18.2447738647461,18.0718021392822
20.7020702362061,19.1950931549072,18.548376083374,18.2447738647461,18.0718021392822
18.9195251464844,17.5021114349365,16.927848815918,16.6556301116943,16.5348033905029
18.9195251464844,17.5021114349365,16.927848815918,16.6556301116943,16.5348033905029
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525
20.9377765655518,19.2273597717285,18.500524520874,18.1852760314941,18.0100078582764
20.9377765655518,19.2273597717285,18.500524520874,18.1852760314941,18.0100078582764
21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383
21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383
21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383
21.1550273895264,19.5304889678955,18.8705043792725,18.6011257171631,18.4472122192383
21.5275840759277,20.2545509338379,19.6528282165527,19.3832378387451,19.2333393096924
21.5437049865723,20.0850067138672,19.4526672363281,19.2046718597412,19.029224395752
20.4430751800537,18.4381675720215,17.5887126922607,17.198148727417,16.9986057281494
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.9506740570068,19.2528171539307,18.4903964996338,18.1941661834717,17.9708824157715
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
20.8462467193604,19.2257022857666,18.5389671325684,18.2441291809082,18.1099109649658
19.1108589172363,17.673376083374,17.050142288208,16.8089790344238,16.6605396270752
19.1108589172363,17.673376083374,17.050142288208,16.8089790344238,16.6605396270752
20.016975402832,18.5852718353271,18.0252494812012,17.8004360198975,17.7117938995361
20.016975402832,18.5852718353271,18.0252494812012,17.8004360198975,17.7117938995361
20.5807552337646,19.3123378753662,18.7478504180908,18.5276489257813,18.3631286621094
20.2684917449951,18.0684070587158,17.1312160491943,16.6994819641113,16.4546051025391
20.2684917449951,18.0684070587158,17.1312160491943,16.6994819641113,16.4546051025391
20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125
20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125
20.3602657318115,17.9249248504639,16.9212741851807,16.4939060211182,16.251220703125
